Filename, Type of Algorithm, Profit, Profit after Local Search, Optimal Profit, Error, sizeOfPathSet, StopFactor, CPU Time(ms), Run Time(ms), Route, Requests
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo1_a,1.76214,1.76214,1.76214,0,0,0,0,2.73258,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo1_a_disRatio_a,0.48308,1.76214,1.76214,0,6,0,50,48.4075,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo1_a_disRatio_b,0.48308,1.11144,1.76214,0.6507,10,2,40,54.2143,1 3 8 9 10 ,1:3 3:9 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo1_b,1.47886,1.76214,1.76214,0,2,0,10,8.88357,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo1_b_disRatio_a,0.541,1.76214,1.76214,0,7,0,30,32.932,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo2_b,1.45046,1.76214,1.76214,0,2,0,10,8.50117,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo2_b_disRatio,-0.37382,1.76214,1.76214,0,8,0,30,31.8041,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo2_c,1.45046,1.76214,1.76214,0,2,0,0,7.56958,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo3_a,1.47886,1.76214,1.76214,0,2,0,10,5.96523,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo3_b,1.47886,1.76214,1.76214,0,2,0,10,5.99404,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_01_data.txt,GreedyAlgo4,-0.03866,1.76214,1.76214,0,3,0,10,12.344,1 9 10 ,1:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo1_a,0.58776,0.58776,1.31778,0.73002,0,0,0,1.54279,1 6 10 ,1:6 6:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo1_a_disRatio_a,0.2,0.58776,1.31778,0.73002,0,0,0,2.10526,1 6 10 ,1:6 6:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo1_a_disRatio_b,0.62188,1.31778,1.31778,0,10,2,30,42.6336,1 7 8 9 10 ,1:7 7:8 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo1_b,0.58776,0.58776,1.31778,0.73002,0,0,10,1.622,1 6 10 ,1:6 6:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo1_b_disRatio_a,1.31778,1.31778,1.31778,0,7,3,30,48.605,1 7 8 9 10 ,1:7 7:8 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo2_b,0.36906,1.31778,1.31778,0,7,3,40,47.3314,1 7 8 9 10 ,1:7 7:8 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo2_b_disRatio,0.36906,1.31778,1.31778,0,9,3,40,56.9343,1 7 8 9 10 ,1:7 7:8 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo2_c,0.36906,1.19482,1.31778,0.12296,4,3,40,34.2999,1 5 9 10 ,1:5 5:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo3_a,1.31778,1.31778,1.31778,0,6,3,20,31.8367,1 7 8 9 10 ,1:7 7:8 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo3_b,0.58776,0.58776,1.31778,0.73002,0,0,0,1.75072,1 6 10 ,1:6 6:10 
BPMP_Data_Files/10_nodes/t10_02_data.txt,GreedyAlgo4,0.77824,1.31778,1.31778,0,8,3,40,54.752,1 7 8 9 10 ,1:7 7:8 8:9 9:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo1_a,0.42582,0.42582,1.23058,0.80476,0,0,0,1.54559,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo1_a_disRatio_a,1.04428,1.23058,1.23058,0,3,3,20,26.1707,1 5 2 3 10 ,1:2 1:5 2:3 3:10 5:2 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo1_a_disRatio_b,0.9468,1.23058,1.23058,0,8,3,40,51.9088,1 5 2 3 10 ,1:2 1:5 2:3 3:10 5:2 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo1_b,0.42582,0.42582,1.23058,0.80476,0,0,0,3.17203,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo1_b_disRatio_a,1.04428,1.23058,1.23058,0,5,3,20,36.945,1 5 2 3 10 ,1:2 1:5 2:3 3:10 5:2 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo2_b,-0.99456,1.07656,1.23058,0.15402,8,3,40,50.4254,1 6 3 10 ,1:6 3:10 6:3 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo2_b_disRatio,-0.71096,1.07656,1.23058,0.15402,3,3,10,26.9363,1 6 3 10 ,1:6 3:10 6:3 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo2_c,-0.33178,0.42582,1.23058,0.80476,0,0,10,2.6334,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo3_a,0.42582,0.42582,1.23058,0.80476,0,0,0,3.41174,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo3_b,0.19152,0.83466,1.23058,0.39592,3,3,20,28.9214,1 9 4 7 10 ,1:9 4:7 7:10 9:4 
BPMP_Data_Files/10_nodes/t10_03_data.txt,GreedyAlgo4,0.1604,1.23058,1.23058,0,10,2,50,65.1189,1 5 2 3 10 ,1:2 1:5 2:3 3:10 5:2 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_a,0.70116,0.72002,0.79174,0.07172,7,0,30,34.967,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_a_disRatio_a,0.6448,0.6448,0.79174,0.14694,0,0,0,3.06273,1 2 10 ,1:2 2:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_a_disRatio_b,0.70116,0.72002,0.79174,0.07172,10,2,30,39.9548,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_b,0.70116,0.72002,0.79174,0.07172,7,3,20,28.7018,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo1_b_disRatio_a,0.70116,0.72002,0.79174,0.07172,7,3,20,26.5308,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo2_b,-2.23752,0.72002,0.79174,0.07172,6,3,30,23.6645,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo2_b_disRatio,0.46226,0.79174,0.79174,0,10,2,30,41.4689,1 3 9 10 ,1:3 1:9 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo2_c,0.00858,0.79174,0.79174,0,5,3,20,37.7675,1 3 9 10 ,1:3 1:9 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo3_a,0.6325,0.72002,0.79174,0.07172,6,3,30,32.2266,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo3_b,0.63924,0.72002,0.79174,0.07172,6,3,20,30.7613,1 2 8 7 10 ,1:2 2:8 7:10 8:7 8:10 
BPMP_Data_Files/10_nodes/t10_04_data.txt,GreedyAlgo4,0.4675,0.79174,0.79174,0,5,0,20,33.7132,1 3 9 10 ,1:3 1:9 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_a,0.20624,1.42076,1.42076,0,6,0,20,31.9137,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_a_disRatio_a,0.20624,1.42076,1.42076,0,5,3,20,32.4515,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_a_disRatio_b,-0.43224,1.42076,1.42076,0,8,3,40,57.7284,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_b,0.20624,1.42076,1.42076,0,2,3,10,23.5083,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo1_b_disRatio_a,0.20624,1.42076,1.42076,0,5,0,30,38.2396,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo2_b,-0.9996,1.42076,1.42076,0,5,3,30,41.2259,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo2_b_disRatio,-1.2842,1.42076,1.42076,0,8,3,40,58.4255,1 3 9 10 ,1:3 3:9 9:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo2_c,-0.13396,1.31288,1.42076,0.10788,0,0,0,2.93379,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo3_a,1.31288,1.31288,1.42076,0.10788,0,0,0,2.40634,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo3_b,1.31288,1.31288,1.42076,0.10788,0,0,10,2.25418,1 7 10 ,1:7 7:10 
BPMP_Data_Files/10_nodes/t10_05_data.txt,GreedyAlgo4,-0.81926,0.25698,1.42076,1.16378,3,0,10,17.3431,1 5 10 ,1:5 1:10 5:10 